No.,x_m,y_m,z_m,official_velocity_ratio,raw_trilinear_velocity_ratio,raw_abs_error_pp,z_plus_half_velocity_ratio,z_plus_half_abs_error_pp,vertical_valid_above_velocity_ratio,vertical_valid_above_abs_error_pp,z_plus_half_improvement_pp,nearest_footprint_distance_m,nearest_wall_crossing_distance_m,solid_corner_neighbors_max,protocol_risk,dx_m,ground_offset_cells,grid_x_float,grid_y_float,grid_z_float,grid_x0,grid_y0,grid_z0,grid_tx,grid_ty,grid_tz,lower_z_center_m,upper_z_center_m,straddles_two_z_layers
67,-10.0,-59.5,2.0,0.5,0.46313159,3.686841000000002,0.44878895,5.121104999999998,0.42547334,7.4526660000000025,-1.4342639999999962,6.5762090190701805,6.5762090190701805,0,low,2.0,1,144.5,219.75,1.5,144,219,1,0.5,0.75,0.5,1.0,3.0,True
68,1.0,-54.0,2.0,0.28,0.06487847,21.512153000000005,0.12975695,15.024305000000002,0.14403348,13.596652000000004,6.487848000000001,1.8051341484144767,1.8051341484144767,4,high,2.0,1,150.0,222.5,1.5,150,222,1,0.0,0.5,0.5,1.0,3.0,True
69,26.0,-43.0,2.0,0.24,0.45190441,21.190441,0.50987395,26.987395000000003,0.52781713,28.781712999999996,-5.796954000000004,3.6597015247148237,3.6597015247148237,2,moderate,2.0,1,162.5,228.0,1.5,162,228,1,0.5,0.0,0.5,1.0,3.0,True
70,46.5,-33.5,2.0,0.34,0.05388631,28.611369000000003,0.10777262,23.222738000000003,0.1502536,18.974640000000004,5.388630999999999,3.5650422946298934,3.5650422946298934,4,high,2.0,1,172.75,232.75,1.5,172,232,1,0.75,0.75,0.5,1.0,3.0,True
71,66.5,-24.5,2.0,0.5,0.11426207,38.573793,0.20607841,29.392159,0.20710881,29.289118999999996,9.181633999999999,4.426129799271597,4.426129799271597,2,moderate,2.0,1,182.75,237.25,1.5,182,237,1,0.75,0.25,0.5,1.0,3.0,True
72,82.0,-17.5,2.0,0.38,0.10422745,27.577255,0.2084549,17.154510000000002,0.22512518,15.487482,10.422744999999999,4.1538559782598385,4.1538559782598385,4,high,2.0,1,190.5,240.75,1.5,190,240,1,0.5,0.75,0.5,1.0,3.0,True
73,98.5,-9.5,2.0,0.52,0.15903324,36.096676,0.13449563,38.550437,0.17074464,34.925536,-2.4537609999999987,4.400712602522462,4.400712602522462,2,moderate,2.0,1,198.75,244.75,1.5,198,244,1,0.75,0.75,0.5,1.0,3.0,True
74,56.5,-54.5,2.0,0.26,0.0148229,24.51771,0.00665723,25.334277,0.01035188,24.964812,-0.8165669999999986,0.4324607036963384,0.4324607036963384,2,high,2.0,1,177.75,222.25,1.5,177,222,1,0.75,0.25,0.5,1.0,3.0,True
75,109.0,-17.5,2.0,0.63,0.11573894,51.426106000000004,0.23147787,39.852213000000006,0.22914769,40.085231,11.573893000000002,6.560228083062178,6.560230259624405,4,high,2.0,1,204.0,240.75,1.5,204,240,1,0.0,0.75,0.5,1.0,3.0,True
76,116.0,-30.5,2.0,0.5,0.16870707,33.129293000000004,0.27862052,22.137948,0.28633729,21.366270999999998,10.991345000000003,6.200555649617317,6.200950733132702,2,moderate,2.0,1,207.5,234.25,1.5,207,234,1,0.5,0.25,0.5,1.0,3.0,True
77,5.0,-94.0,2.0,0.46,0.13460228,32.539772,0.1520271,30.79729,0.11688687,34.311313,1.7424820000000008,6.3567492640672985,6.3567492640672985,2,moderate,2.0,1,152.0,202.5,1.5,152,202,1,0.0,0.5,0.5,1.0,3.0,True
78,45.5,-86.5,2.0,0.28,0.25992782,2.0072180000000053,0.3001427,2.014269999999996,0.3480141,6.801409999999997,-0.007051999999990732,5.589751103465302,5.589864457702408,2,moderate,2.0,1,172.25,206.25,1.5,172,206,1,0.25,0.25,0.5,1.0,3.0,True
79,81.5,-69.5,2.0,0.32,0.48693445,16.693445,0.4818227,16.18227,0.55570067,23.570067,0.5111750000000026,3.968376998084131,3.968480545866208,0,low,2.0,1,190.25,214.75,1.5,190,214,1,0.25,0.75,0.5,1.0,3.0,True
80,125.0,-49.5,2.0,0.54000004,0.19215115,34.784889,0.28308301,25.691703,0.28034581,25.965423000000005,9.093186000000003,8.269347015484353,8.269347015484353,2,moderate,2.0,1,212.0,224.75,1.5,212,224,1,0.0,0.75,0.5,1.0,3.0,True
