No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
57,74.000000,22.000000,2.000000,0.34000000,0.14784227,0.00595660,2,0.28403832,0.19712302,0.28403832,0.23342329,2,0,0,19
58,63.000000,0.500000,2.000000,0.85000000,0.13495454,0.00543735,4,0.24858928,0.26990908,0.24858928,0.26990908,4,0,0,19
59,50.500000,-22.500000,2.000000,0.42000000,0.08151269,0.00328416,2,0.07316123,0.09315736,0.07316123,0.08969537,2,0,0,19
60,88.500000,-6.000000,2.000000,0.73000000,0.34836783,0.01403581,0,0.39396361,0.34836783,0.39396361,0.41669550,0,0,0,19
61,31.000000,0.000000,2.000000,0.54000004,0.02755148,0.00111005,4,0.10181493,0.05510296,0.10181493,0.05090746,4,0,0,19
62,39.500000,-20.000000,2.000000,0.69000000,0.04416869,0.00177957,4,0.11456400,0.08833738,0.11456400,0.06437606,4,0,0,19
63,92.500000,20.000000,2.000000,0.40000000,0.11116542,0.00447888,2,0.15307236,0.14822056,0.15307236,0.12605199,2,0,0,19
64,100.500000,3.500000,2.000000,0.44000000,0.34767395,0.01400786,0,0.36631393,0.34767395,0.36631393,0.36625935,0,0,0,19
65,-83.000000,-94.000000,2.000000,0.30000002,0.06714246,0.00270518,4,0.14935118,0.13428492,0.14935118,0.13428492,4,0,0,19
66,-49.500000,-78.500000,2.000000,0.32000000,0.01326501,0.00053445,4,0.05390566,0.02653002,0.05390566,0.02018290,4,0,0,19
67,-10.000000,-59.500000,2.000000,0.50000000,0.47712420,0.01922344,0,0.43682046,0.47712420,0.43682046,0.46578918,0,0,0,19
68,1.000000,-54.000000,2.000000,0.28000000,0.10693582,0.00430847,2,0.13021198,0.14258109,0.13021198,0.12193339,2,0,0,19
69,26.000000,-43.000000,2.000000,0.24000000,0.31510506,0.01269565,2,0.31330431,0.31510506,0.31330431,0.29689369,2,0,0,19
70,46.500000,-33.500000,2.000000,0.34000000,0.07614951,0.00306808,4,0.20087323,0.15229901,0.20087323,0.15229901,4,0,0,19
71,66.500000,-24.500000,2.000000,0.50000000,0.12278792,0.00494715,2,0.22997174,0.19646067,0.22997174,0.22207865,2,0,0,19
72,82.000000,-17.500000,2.000000,0.38000000,0.09691456,0.00390471,4,0.21276938,0.19382912,0.21276938,0.19382912,4,0,0,19
73,98.500000,-9.500000,2.000000,0.52000000,0.20708615,0.00834355,2,0.22754537,0.23666988,0.22754537,0.18659134,2,0,0,19
74,56.500000,-54.500000,2.000000,0.26000000,0.00901280,0.00036313,2,0.00940393,0.01442048,0.00940393,0.01077605,2,0,0,19
75,109.000000,-17.500000,2.000000,0.63000000,0.09016314,0.00363269,4,0.18419806,0.18032628,0.18419806,0.18032628,4,0,0,19
76,116.000000,-30.500000,2.000000,0.50000000,0.09522821,0.00383676,4,0.20424274,0.19045641,0.20424274,0.19045641,4,0,0,19
77,5.000000,-94.000000,2.000000,0.46000000,0.34102050,0.01373979,0,0.37548076,0.34102050,0.37548076,0.46283905,0,0,0,19
78,45.500000,-86.500000,2.000000,0.28000000,0.30586414,0.01232333,2,0.44167419,0.34955902,0.44167419,0.37430547,2,0,0,19
79,81.500000,-69.500000,2.000000,0.32000000,0.32058597,0.01291648,0,0.30727779,0.32058597,0.30727779,0.29455527,0,0,0,19
80,125.000000,-49.500000,2.000000,0.54000004,0.16850462,0.00678909,2,0.27942713,0.19257670,0.27942713,0.30675952,2,0,0,19
