No.,case,Wind_direction,x(m),y(m),z(m),Velocity_Ratio
41,bc,ESE,29.5,15,2,0.52
42,bc,ESE,53,26,2,0.4
43,bc,ESE,67.5,32.5,2,0.32
44,bc,ESE,83,39,2,0.26
45,bc,ESE,120.5,56.5,2,0.22
46,bc,ESE,-121,-56.5,2,0.16
47,bc,ESE,-96.5,-59.5,2,0.38
48,bc,ESE,-77,-59,2,0.32
49,bc,ESE,-59.5,-51.5,2,0.22
50,bc,ESE,-45.5,-45,2,0.18
51,bc,ESE,-24.5,-19.5,2,0.4
52,bc,ESE,-31,-23.5,2,0.57
53,bc,ESE,-24.5,-38,2,0.55
54,bc,ESE,-20,-30.5,2,0.38
55,bc,ESE,-11,-50,2,0.38
56,bc,ESE,38,5.5,2,0.44
57,bc,ESE,74,22,2,0.4
58,bc,ESE,63,0.5,2,0.4
59,bc,ESE,50.5,-22.5,2,0.22
60,bc,ESE,88.5,-6,2,0.26
61,bc,ESE,31,0,2,0.34
62,bc,ESE,39.5,-20,2,0.26
63,bc,ESE,92.5,20,2,0.28
64,bc,ESE,100.5,3.5,2,0.26
65,bc,ESE,-83,-94,2,0.3
66,bc,ESE,-49.5,-78.5,2,0.24
67,bc,ESE,-10,-59.5,2,0.46
68,bc,ESE,1,-54,2,0.16
69,bc,ESE,26,-43,2,0.44
70,bc,ESE,46.5,-33.5,2,0.24
71,bc,ESE,66.5,-24.5,2,0.36
72,bc,ESE,82,-17.5,2,0.16
73,bc,ESE,98.5,-9.5,2,0.54
74,bc,ESE,56.5,-54.5,2,0.18
75,bc,ESE,109,-17.5,2,0.38
76,bc,ESE,116,-30.5,2,0.5
77,bc,ESE,5,-94,2,0.32
78,bc,ESE,45.5,-86.5,2,0.32
79,bc,ESE,81.5,-69.5,2,0.42
80,bc,ESE,125,-49.5,2,0.42
1,bc,SE,-27,112,2,0.26
2,bc,SE,-93,33,2,0.46
3,bc,SE,-88,35,2,0.44
4,bc,SE,-74,40,2,0.38
5,bc,SE,-61,45.5,2,0.5
6,bc,SE,-50.5,49.5,2,0.44
